Timestep,TTC,x0,y0,A,B,C,distance,actual_velocity_y,desired_velocity_y,unclipped_velocity_y
1,3195.9469695594757,0.1275093248816607,-1.275719270517772,-3.9897196698240704e-05,0.0003991678468599919,0.0006257926114073404,22.64936541416645,-0.5886,-1.0,-6.391893939118952
2,1998.518215617884,-1.2175110385487087,-3.221432016719401,0.0006092068758914411,0.001611910260084083,0.0010007414415192897,22.63366704084873,-0.7848,-1.0,-5.19446518517736
3,1514.2672007407054,-3.684696949215623,-0.6537058222209483,0.002433320187753687,0.0004316978020135333,0.001320770864627919,22.61404966213703,-0.981,-1.0,-4.472488257278711
4,1197.2036111704494,-3.4368388151543208,-2.952645391194299,0.0028707220585429787,0.0024662850693439164,0.001670559611864764,22.590503964805603,-1.1772,-1.0,-3.952967998544257
5,1077.7569832477564,-1.0138909024555274,-4.661850449248801,0.0009407416683121159,0.004325511707844001,0.0018557059068855387,22.563035536789894,-1.3734,-1.0,-3.5934771921345083
6,932.0017279989345,0.21056284804857173,-2.9292279411656934,-0.00022592538374436623,0.003142942607472335,0.002145918768084394,22.531644378089904,-1.5696,-1.0,-3.3052315694450685
7,785.4704825936336,-1.2761331892238592,-1.3496654323655783,0.0016246736414716068,0.001718289181165619,0.0025462446321292357,22.496326763415336,-1.7658,-1.0,-3.0574757688368113
8,682.5012853989947,-0.2671174289640736,-1.0069096948419052,0.00039138011118603974,0.0014753227816314796,0.0029303974113847817,22.457090143346786,-1.962,-1.0,-2.8459166190819585
9,591.3956437096554,-1.9564008684490424,-1.2012659897099138,0.003308108352264992,0.0020312391585685626,0.0033818307951248563,22.413927067303657,-2.1582,-1.0,-2.661124915563886
10,562.8359132646958,-1.5272615723097414,-3.927817866399931,0.0027135112318099116,0.006978619831874019,0.0035534335191923353,22.36683753528595,-2.3544,-1.0,-2.507579606660437
11,525.8112426035337,0.5898952920601244,-4.046706962749857,-0.0011218765295684455,0.007696121031404248,0.0038036463239109887,22.31582340993881,-2.5505998,-1.0,-1.9735524612692488
12,467.2876195177348,-2.1576160020388966,-1.9187638667949936,0.004617318995666243,0.004106173129036155,0.004280019235399612,22.260888416552543,-2.7467997,-1.0,-1.6673063420492187
13,445.787837797403,-2.3668819022820777,-3.756284185796052,0.005309435793440721,0.008426170180764709,0.004486439131856574,22.202026967191696,-2.9429996,-1.0,-1.4536104694605583
