Timestep,TTC,x0,y0,A,B,C,distance,actual_velocity_y,desired_velocity_y,unclipped_velocity_y
1,-2265.2788591359335,0.0,-0.0,0.0,-0.0,-0.0,22.66353828110695,-0.1962,0.0,4.530557718271867
2,-2924.444962935434,0.0,-0.0,0.0,-0.0,-0.0,22.660414625191688,-0.1962,0.0,5.189723822071368
3,-2637.295047851831,0.0,-0.0,0.0,-0.0,-0.0,22.657292831921577,-0.1962,0.0,5.218012579948799
4,-2395.6847972877003,0.0,-0.0,0.0,-0.0,-0.0,22.654165450716018,-0.1962,0.0,5.1113518336054495
5,-2513.8261728766643,0.0,-0.0,0.0,-0.0,-0.0,22.651043657445907,-0.1962,0.0,5.094611936035026
6,-2204.4637199385784,0.0,-0.0,0.0,-0.0,-0.0,22.647921864175796,-0.1962,0.0,4.9803311866753806
7,-2720.0630518653243,0.0,-0.0,0.0,-0.0,-0.0,22.644798208260536,-0.1962,0.0,5.046016174826133
8,-3208.6788629705798,0.0,-0.0,0.0,-0.0,-0.0,22.641674552345275,-0.1962,0.0,5.217433868715512
9,-2354.6482968471623,0.0,-0.0,0.0,-0.0,-0.0,22.638550896430015,-0.1962,0.0,5.160974171490936
10,33.644261412085804,6.867726101773653,-14.492772372150545,-0.2041277119344521,0.4307650625656001,0.11889100346138397,22.635429103159904,-0.1962,0.0,4.6381479020594245
11,34.05537795929733,6.265560668691097,-14.844166671805915,-0.18398153372955178,0.4358831867773578,0.11745575118211174,22.632303584599494,-0.1962,0.0,4.178281054640379
12,-4747.969432097413,0.0,-0.0,0.0,-0.0,-0.0,22.629179928684234,-0.1962,0.0,4.542985948472774
13,45.11320721174922,11.89530863542934,-13.200598751290174,-0.26367685586165424,0.29261051401932314,0.08866583085580858,22.626056272768974,-0.1962,0.0,4.006504297460057
14,45.80553888326393,11.412961061794315,-14.072593148754157,-0.24916115692646712,0.30722470451921463,0.08732568369502337,22.622932616853713,-0.1962,0.0,3.5182062302258648
15,43.00122166111221,10.987572660372567,-13.969110946107252,-0.255517686147719,0.32485381592635304,0.09302061303103316,22.619808960938453,-0.1962,0.0,3.0068407513183097
16,42.41846572682293,10.698835610659513,-13.988674525824585,-0.2522211830941873,0.3297779466120335,0.09429855444938068,22.616685305023193,-0.1962,0.0,2.5574643141852293
17,40.41156538076288,9.6492080151652,-14.197411446150184,-0.23877342845418492,0.3513205022468291,0.09898156535911179,22.613090399885177,-0.1962,0.0,2.005369390736012
18,2578.700689301547,-471.99045212585503,305.06774882386105,0.18303421334784528,-0.11830289187477981,0.0007755843895716759,22.609165806555747,-0.1962,0.0,0.847893480281587
19,39.42034125576037,9.450412369050483,-14.314148972986299,-0.23973441294523357,0.3631158056221702,0.10147045592649437,22.605243075871467,-0.1962,0.0,0.36907975266100235
