Timestep,TTC,x0,y0,A,B,C,distance,actual_velocity_y,desired_velocity_y,unclipped_velocity_y
24,115.65805935548232,-4.37298822247653,-4.913302042995286,0.03780962819924097,0.04248127688096463,0.017292353089315413,15.801236901664733,-7.1223326,-0.23087109427046282,-0.23087109427046282
25,120.2210624253855,-3.8417965975836204,-5.1688390505274775,0.03195610253376366,0.04299445493368092,0.01663602000890059,15.662058193469047,-6.958884,-0.225422803995333,-0.225422803995333
26,125.38474977511561,-4.292450255547247,-6.1627618518571365,0.03423422914864839,0.04915080871406121,0.015950903148804853,15.523568663978576,-6.9244924,-0.22427641703630474,-0.22427641703630474
27,128.43701757502592,-5.447154543700389,-6.17158446956744,0.04241109492065602,0.04805144642947145,0.015571834645192606,15.384070512139797,-6.974931,-0.22595769865331267,-0.22595769865331267
28,124.46727032291071,-4.692605410941492,-6.751183879945671,0.037701521040569674,0.054240635810770085,0.0160684812546408,15.243855241918563,-7.0107822,-0.22715275005758787,-0.22715275005758787
29,122.47758550448941,6.921229272362661,9.520672491318688,-0.0565101707700546,-0.07773399885458804,0.008164759256813934,15.10257453867197,-7.064077,-0.22892923640340423,-0.22892923640340423
30,117.39844080350399,-7.978446099554897,-7.074961785495967,0.06796040939682364,0.06026452938448908,0.017036001383932402,14.959754359209537,-7.1409903,-0.23149301497443464,-0.23149301497443464
31,117.11175934715735,-7.519164687701297,-6.805793278868498,0.0642050356823011,0.0581136626826168,0.017077704332588407,14.814736258471012,-7.2508445,-0.23515482577171376,-0.23515482577171376
32,114.76332767590148,-7.50261768933214,-7.2733212725181255,0.06537469626638905,0.06337670246943711,0.01742716981550169,14.66751744248867,-7.3609695,-0.23882564337860282,-0.23882564337860282
33,112.49372304207733,-7.055172879530288,-7.135790897385188,0.06271614707685833,0.06343279166532789,0.017778769747463303,14.519783605122566,-7.3866777,-0.23968259916540993,-0.23968259916540993
34,111.11226978503414,-6.952734385727205,-6.913587429135868,0.06257395694623527,0.0622216380109181,0.01799981229678185,14.372595522785186,-7.359403,-0.23877344125132033,-0.23877344125132033
35,110.58276214682337,-6.692694776659061,-7.664165087307505,0.06052204382246314,0.0693070505612042,0.018086001481357035,14.226563211762905,-7.3015733,-0.2368457811956079,-0.2368457811956079
36,108.05109797980958,-5.554793702858924,-7.096730105540627,0.051408951937692404,0.0656793890874364,0.01850976100560977,14.082612406694889,-7.1975713,-0.2333790508365467,-0.2333790508365467
37,111.42342922951616,-5.571383362753403,-7.87291785745687,0.05000190176589485,0.07065765173354877,0.01794954628330716,13.94070119806528,-7.0954895,-0.2299763331674447,-0.2299763331674447
38,108.97523050280539,-5.895374479203053,-6.687548146812501,0.054098297860918826,0.06136759808588192,0.01835279439898513,13.800650771939754,-7.0025377,-0.22687792520342365,-0.22687792520342365
39,108.96319040053842,-6.353043694982316,-6.117184461365717,0.058304494128972595,0.056139916965348785,0.018354822327138077,13.662220847094058,-6.9214516,-0.22417504618263343,-0.22417504618263343
40,107.20602851914883,-6.549625033331033,-5.653771431681423,0.061093812762228736,0.05273743939382628,0.018655667294332854,13.525015611433982,-6.8602967,-0.22213656372576243,-0.22213656372576243
41,104.01738331048495,-5.775763284384775,-4.964901616498954,0.055526904259305454,0.04773146043944457,0.019227555398410028,13.389380585634708,-6.7817307,-0.21951768851842796,-0.21951768851842796
42,103.31060423399087,-5.709012369254292,-4.789762288185406,0.05526066188059263,0.046362736175048866,0.019359096917777655,13.255120191955566,-6.713014,-0.21722714383004582,-0.21722714383004582
43,105.82819179616325,-6.174705476285989,-4.698624914391596,0.05834650834986532,0.04439861283316325,0.0188985559145924,13.121659804368019,-6.6730213,-0.21589403758086298,-0.21589403758086298
44,107.32547262820296,-6.234663700820609,-4.607272850014228,0.05809118327779221,0.0429280462241685,0.018634905125723532,12.988653902196884,-6.6503,-0.21513667814949677,-0.21513667814949677
45,106.35813793203343,-6.009435235284818,-3.763631225921603,0.05650188459603399,0.03538639636890498,0.018804390889938953,12.85615463950634,-6.6249523,-0.2142917533065388,-0.2142917533065388
46,179.56771161521957,29.04481685867874,-44.720056837808784,-0.16174854932114086,0.24904286207999132,0.005568929909530814,12.715074170613288,-7.0540524,-0.22859507603362075,-0.22859507603362075
47,100.1280899683851,-7.64664107791746,-6.930040725263179,0.07636859027603388,0.06921175393889269,0.019974414778425206,12.575348776066303,-6.98628,-0.22633600818139457,-0.22633600818139457
48,99.88000822647886,-7.674759447428122,-7.168773374124655,0.07683979590816144,0.07177385646454286,0.020024027185350055,12.436715822899341,-6.931709,-0.22451696372612928,-0.22451696372612928
49,100.70779962354926,-8.270563828667466,-7.069475141118234,0.08212436235905504,0.07019789100292412,0.019859434993874346,12.299071934306621,-6.8821764,-0.22286588557073142,-0.22286588557073142
50,99.57712381084235,-8.366382241232236,-7.3413579975940495,0.08401911926202141,0.07372534691341118,0.020084934405207554,12.162343535804748,-6.836403,-0.22134010462907014,-0.22134010462907014
51,102.37514373430713,-7.200326649614888,-8.455846998813952,0.0703327622992335,0.08259668011562749,0.019535992107523423,12.025811646366119,-6.8265495,-0.22101165671383455,-0.22101165671383455
52,100.8991866785347,-8.227805456735448,-8.393510119759837,0.08154481445870596,0.08318709393071325,0.01982176532673162,11.889569398248195,-6.8120813,-0.22052937320274332,-0.22052937320274332
53,104.77010537141231,-9.055468738045304,-9.293688550512455,0.08643179947126586,0.08870553787806287,0.019089414799287985,11.753455672645568,-6.8057323,-0.22031775591779312,-0.22031775591779312
54,100.60575945680793,-7.950151948070059,-7.954298540803181,0.07902283120762305,0.07906404746358603,0.01987957757884269,11.61814660974741,-6.765414,-0.21897381328351412,-0.21897381328351412
55,129.0902107676308,-13.72542232800049,-42.9591477419804,0.10632426925622561,0.3327839306057772,0.007746520778403971,11.480109703028202,-6.901807,-0.2235202278506336,-0.2235202278506336
56,94.12760958138671,-8.51135896913827,-8.190750928310958,0.09042361754421258,0.08701751765223453,0.02124775088727517,11.35232665785551,-6.3891664,-0.20643220744386706,-0.20643220744386706
57,99.43716678214861,-8.801315641153105,-8.046901072400129,0.08851132756462601,0.080924480582091,0.020113203792116174,11.224625569069385,-6.3850207,-0.2062940228066197,-0.2062940228066197
58,101.15157713812582,-8.58883731380457,-7.501862668328193,0.08491056251230003,0.074164564513751,0.01977230663708717,11.096772674703598,-6.39265,-0.2065483365889491,-0.2065483365889491
59,98.60059985069118,-9.94177057470194,-6.624147698794403,0.1008287027640456,0.0671816166313918,0.02028385225879516,10.969173100078105,-6.380007,-0.2061268966343775,-0.2061268966343775
60,94.46685745853284,-8.112346581549756,-6.4359864506642674,0.0858750550171604,0.06812957077025038,0.021171446301978657,10.84218633570671,-6.349345,-0.2051048433639156,-0.2051048433639156
61,95.4800544609737,-7.8937805851436895,-6.8147629315449185,0.08267465524299816,0.07137368081760331,0.020946783192477916,10.716026585781574,-6.307975,-0.20372582550924892,-0.20372582550924892
62,96.14314281331444,-7.080739204826075,-7.065486498737494,0.07364788582556607,0.07348924002262829,0.020802315604384725,10.590438667917251,-6.2794385,-0.2027746167362049,-0.2027746167362049
63,134.6373537274242,-0.01856445430800278,-30.20641401854911,0.0001378848721699244,0.2243538897808594,0.007427359290086155,10.461265158140659,-6.458642,-0.2087480664074072,-0.2087480664074072
64,93.08822648266532,-8.38252743004664,-7.683103878498491,0.09004927633472119,0.08253572088334094,0.02148499413481076,10.332994099938869,-6.4135365,-0.2072445598125787,-0.2072445598125787
65,95.73751004123235,-9.537770427964485,-9.261120710361904,0.09962417472374982,0.09673450569555561,0.020890453482011778,10.208725866162776,-6.213421,-0.20057401966729901,-0.20057401966729901
66,98.77116552742761,-8.313305630999592,-10.18555827762563,0.0841673335189214,0.1031227911833967,0.020248824536191416,10.08389977016449,-6.2412815,-0.20150273085650722,-0.20150273085650722
67,94.55953180055432,-9.015284560566005,-8.777252621517285,0.0953397757888767,0.0928225050863231,0.02115069694103832,9.95966040738821,-6.212016,-0.20052720386018832,-0.20052720386018832
68,93.66014839553971,-8.795868430278352,-9.23514046379029,0.09391260403658755,0.09860266743107238,0.02135379917992148,9.83631883957386,-6.1670675,-0.19902891811167114,-0.19902891811167114
69,96.05092243349353,-8.196006572764805,-10.537509520084516,0.08532980595204372,0.10970753068384925,0.020822288316750075,9.713282745563983,-6.151769,-0.1985189826282316,-0.1985189826282316
70,95.57336910883822,-6.735359554706221,-9.74239935056094,0.07047318324664317,0.10193633897604226,0.020926331452461568,9.590115335071086,-6.1584086,-0.19874028495829266,-0.19874028495829266
71,101.41834387761013,-16.55749918760943,-18.127239288204063,0.16325941200135086,0.17873728356360954,0.019720298355626522,9.466234531486034,-6.194038,-0.19992794284161997,-0.19992794284161997
72,93.30716831856435,-7.509584560199166,-10.78559653454317,0.08048239696397541,0.11559236797026744,0.02143458038691847,9.342693660640716,-6.177022,-0.19936074794266995,-0.19936074794266995
73,88.72120144393969,-8.702710624484455,-9.075946081180454,0.09809054073713644,0.10229737575088269,0.022542526109317184,9.224663425469398,-5.9015255,-0.19017751748597306,-0.19017751748597306
74,94.83071801986098,-9.196482788987081,-9.385591344851917,0.09697788839963234,0.09897205821942881,0.02109021255729739,9.106423642718791,-5.91198,-0.19052601579341216,-0.19052601579341216
75,92.46296564810756,-9.152900685101688,-9.583876302192126,0.09898991040299843,0.10365097241922912,0.021630281767205398,8.988577809417247,-5.892333,-0.18987110691478726,-0.18987110691478726
76,88.98130460009078,-9.244478322647252,-9.011167604754498,0.10389236665156537,0.10127034712801125,0.022476631568716734,8.871906373882293,-5.833594,-0.18791313472931986,-0.18791313472931986
77,88.16626178596252,-8.255572380080787,-9.51327747562946,0.09363641162559992,0.10790156328420092,0.022684414190717477,8.756001416826248,-5.795234,-0.18663448072640149,-0.18663448072640149
78,87.47619612911387,-7.481131341653958,-9.102399829361946,0.08552190964741875,0.1040557343843222,0.022863362703243552,8.64083872386217,-5.7581306,-0.18539769027311634,-0.18539769027311634
79,80.24387696900403,-2.1808656604129957,-3.5314821689586675,0.027177969744101513,0.04400936622644467,0.02492402006912682,8.52757220366001,-5.6632886,-0.18223628118021845,-0.18223628118021845
80,89.75513296819288,-7.673386460888681,-9.38013526370882,0.08549245271140035,0.10450806492630255,0.022282848165449804,8.415004175388813,-5.628379,-0.1810726339520894,-0.1810726339520894
81,89.92128234218183,-7.579530485609317,-8.59676117613562,0.08429072949345363,0.09560318705667416,0.022241675695741335,8.303816367173194,-5.5593967,-0.1787732216450037,-0.1787732216450037
82,97.52594750114976,-8.5446582168215,-9.60103260219944,0.08761420356075766,0.09844593001351,0.010253681462445784,8.192121919476985,-5.584709,-0.1796169774815208,-0.1796169774815208
83,89.35705215606406,-9.305630176510173,-9.800713218624145,0.10413985188609048,0.10968035518346089,0.022382117043285583,8.080352034652233,-5.5885243,-0.17974414762394564,-0.17974414762394564
84,87.7569166343792,-8.533746831274149,-9.382704765165592,0.09724301124694498,0.10691698301407586,0.022790226419788437,7.969429653370381,-5.5460815,-0.17832938734684928,-0.17832938734684928
