Timestep,TTC,x0,y0,A,B,C,distance,actual_velocity_y,desired_velocity_y,unclipped_velocity_y
1,6308.076575173578,1.1820576023461051,0.4888572032008037,-0.00018738796022202357,-7.74970305726436e-05,0.0003170538556667674,22.18113740184307,-24.1962,-0.8,-12.616153150347156
2,54.15686685226525,-4.827973942191345,-6.945206284892945,0.08914795524197505,0.1282423945210642,0.036929758242030666,21.69721287884712,-24.1962,-0.8,-6.362233442025843
3,52.787808067039265,-5.67769427146075,-7.4966864222871035,0.10755692420966245,0.14201548987914955,0.037887536407271306,21.213288355851173,-24.1962,-0.8,-4.276680833395255
4,52.51736777166387,-5.997040978075177,-8.433953243922316,0.11419157571166247,0.1605936017317478,0.03808263979824051,20.729363832855224,-24.1962,-0.8,-3.2337693089322728
5,51.266152559885526,-5.200602733801785,-7.928790315357868,0.10144320324656322,0.15465935943010373,0.03901209472787606,20.245439309859275,-24.1962,-0.8,-2.6075219081697725
6,51.60336242058991,-6.346111025253439,-8.832304365527502,0.12297863409616346,0.17115753608341194,0.038757164382024714,19.761514786863327,-24.1962,-0.8,-2.1901360442816737
7,50.16381159785332,-6.165170269119673,-9.127044479197068,0.12290075400457613,0.18194479622811688,0.039869378667501155,19.27758840122223,-24.1962,-0.8,-1.8915919841265354
8,49.83178503011646,-6.8070150362278525,-10.009123153880088,0.13659986356326487,0.2008582102333069,0.04013502624462028,18.79366387822628,-24.1962,-0.8,-1.667600932368248
9,47.85040701876942,-7.400767018204397,-9.186497788197109,0.15466466179277077,0.19198369168717178,0.04179692764610123,18.30973935523033,-24.1962,-0.8,-1.4929453636648358
10,47.278681433935795,-6.4433729762193686,-9.906684439009387,0.13628495509594374,0.20953808648095135,0.04230236418066507,17.825814832234382,-24.1962,-0.8,-1.3531065635851394
11,46.150253455114395,-7.657876233804034,-9.66062559456224,0.1659335683010292,0.20932984916232666,0.04333670674084584,17.761456717038154,-3.2178388,-0.10072129924144664,-0.10072129924144664
12,295.47123825338883,-1.7173584105272857,-1.6055292389203242,0.0058122693114871695,0.005433791960297205,0.006768848338073601,17.66814192035198,-4.665725,-0.14898417352167134,-0.14898417352167134
13,208.68516351399495,-2.521308965156009,-4.149421403145244,0.012081879337756198,0.01988364353878455,0.004791907499130562,17.556118715786933,-5.6011095,-0.1801636446110625,-0.1801636446110625
14,710.7436078779605,-879.099808799788,-21.992444375991703,1.2368733240169154,0.030942866220990278,0.0014069771277798208,17.365110043668746,-9.550467,-0.3118088926323218,-0.3118088926323218
15,100.29616055568914,-5.979037383954671,-4.580588606665748,0.059613821215367735,0.045670627681927964,0.019940942793014553,17.168219138169288,-9.844647,-0.32161489423148254,-0.32161489423148254
16,93.58796646546362,-6.305058105144683,-3.373226505030741,0.06737039325960151,0.03604337857127763,0.021370268802005134,16.96628791489601,-10.096555,-0.33001181504045723,-0.33001181504045723
